Date,Time,Sensor_Depth_ft
8/10/2024,2:15:00 PM,1.36
8/10/2024,2:30:00 PM,1.36
8/10/2024,2:45:00 PM,1.36
8/10/2024,3:00:00 PM,1.36
8/10/2024,3:15:00 PM,1.35
8/10/2024,3:30:00 PM,1.36
8/10/2024,3:45:00 PM,1.35
8/10/2024,4:00:00 PM,1.35
8/10/2024,4:15:00 PM,1.35
8/10/2024,4:30:00 PM,1.35
8/10/2024,4:45:00 PM,1.35
8/10/2024,5:00:00 PM,1.35
8/10/2024,5:15:00 PM,1.35
8/10/2024,5:30:00 PM,1.35
8/10/2024,5:45:00 PM,1.34
8/10/2024,6:00:00 PM,1.35
8/10/2024,6:15:00 PM,1.35
8/10/2024,6:30:00 PM,1.34
8/10/2024,6:45:00 PM,1.34
8/10/2024,7:00:00 PM,1.34
8/10/2024,7:15:00 PM,1.34
8/10/2024,7:30:00 PM,1.34
8/10/2024,7:45:00 PM,1.34
8/10/2024,8:00:00 PM,1.34
8/10/2024,8:15:00 PM,1.34
8/10/2024,8:30:00 PM,1.34
8/10/2024,8:45:00 PM,1.34
8/10/2024,9:00:00 PM,1.34
8/10/2024,9:15:00 PM,1.33
8/10/2024,9:30:00 PM,1.34
8/10/2024,9:45:00 PM,1.33
8/10/2024,10:00:00 PM,1.33
8/10/2024,10:15:00 PM,1.33
8/10/2024,10:30:00 PM,1.33
8/10/2024,10:45:00 PM,1.33
8/10/2024,11:00:00 PM,1.33
8/10/2024,11:15:00 PM,1.33
8/10/2024,11:30:00 PM,1.33
8/10/2024,11:45:00 PM,1.33
8/11/2024,12:00:00 AM,1.33
8/11/2024,12:15:00 AM,1.33
8/11/2024,12:30:00 AM,1.33
8/11/2024,12:45:00 AM,1.32
8/11/2024,1:00:00 AM,1.33
8/11/2024,1:15:00 AM,1.32
8/11/2024,1:30:00 AM,1.32
8/11/2024,1:45:00 AM,1.32
8/11/2024,2:00:00 AM,1.32
8/11/2024,2:15:00 AM,1.32
8/11/2024,2:30:00 AM,1.32
8/11/2024,2:45:00 AM,1.32
8/11/2024,3:00:00 AM,1.32
8/11/2024,3:15:00 AM,1.32
8/11/2024,3:30:00 AM,1.32
8/11/2024,3:45:00 AM,1.32
8/11/2024,4:00:00 AM,1.32
8/11/2024,4:15:00 AM,1.32
8/11/2024,4:30:00 AM,1.31
8/11/2024,4:45:00 AM,1.32
8/11/2024,5:00:00 AM,1.32
8/11/2024,5:15:00 AM,1.32
8/11/2024,5:30:00 AM,1.32
8/11/2024,5:45:00 AM,1.31
8/11/2024,6:00:00 AM,1.31
8/11/2024,6:15:00 AM,1.31
8/11/2024,6:30:00 AM,1.31
8/11/2024,6:45:00 AM,1.31
8/11/2024,7:00:00 AM,1.31
8/11/2024,7:15:00 AM,1.31
8/11/2024,7:30:00 AM,1.31
8/11/2024,7:45:00 AM,1.3
8/11/2024,8:00:00 AM,1.31
8/11/2024,8:15:00 AM,1.31
8/11/2024,8:30:00 AM,1.31
8/11/2024,8:45:00 AM,1.31
8/11/2024,9:00:00 AM,1.3
8/11/2024,9:15:00 AM,1.31
8/11/2024,9:30:00 AM,1.3
8/11/2024,9:45:00 AM,1.3
8/11/2024,10:00:00 AM,1.3
8/11/2024,10:15:00 AM,1.3
8/11/2024,10:30:00 AM,1.3
8/11/2024,10:45:00 AM,1.3
8/11/2024,11:00:00 AM,1.3
8/11/2024,11:15:00 AM,1.3
8/11/2024,11:30:00 AM,1.3
8/11/2024,11:45:00 AM,1.3
8/11/2024,12:00:00 PM,1.3
8/11/2024,12:15:00 PM,1.3
8/11/2024,12:30:00 PM,1.3
8/11/2024,12:45:00 PM,1.3
8/11/2024,1:00:00 PM,1.3
8/11/2024,1:15:00 PM,1.3
8/11/2024,1:30:00 PM,1.29
8/11/2024,1:45:00 PM,1.3
8/11/2024,2:00:00 PM,1.29
8/11/2024,2:15:00 PM,1.29
8/11/2024,2:30:00 PM,1.29
8/11/2024,2:45:00 PM,1.29
8/11/2024,3:00:00 PM,1.29
8/11/2024,3:15:00 PM,1.29
8/11/2024,3:30:00 PM,1.29
8/11/2024,3:45:00 PM,1.29
8/11/2024,4:00:00 PM,1.28
8/11/2024,4:15:00 PM,1.29
8/11/2024,4:30:00 PM,1.29
8/11/2024,4:45:00 PM,1.29
8/11/2024,5:00:00 PM,1.29
8/11/2024,5:15:00 PM,1.29
8/11/2024,5:30:00 PM,1.28
8/11/2024,5:45:00 PM,1.28
8/11/2024,6:00:00 PM,1.28
8/11/2024,6:15:00 PM,1.28
8/11/2024,6:30:00 PM,1.28
8/11/2024,6:45:00 PM,1.28
8/11/2024,7:00:00 PM,1.28
8/11/2024,7:15:00 PM,1.28
8/11/2024,7:30:00 PM,1.28
8/11/2024,7:45:00 PM,1.28
8/11/2024,8:00:00 PM,1.28
8/11/2024,8:15:00 PM,1.27
8/11/2024,8:30:00 PM,1.27
8/11/2024,8:45:00 PM,1.27
8/11/2024,9:00:00 PM,1.27
8/11/2024,9:15:00 PM,1.27
8/11/2024,9:30:00 PM,1.27
8/11/2024,9:45:00 PM,1.27
8/11/2024,10:00:00 PM,1.27
8/11/2024,10:15:00 PM,1.27
8/11/2024,10:30:00 PM,1.27
8/11/2024,10:45:00 PM,1.27
8/11/2024,11:00:00 PM,1.27
8/11/2024,11:15:00 PM,1.27
8/11/2024,11:30:00 PM,1.27
8/11/2024,11:45:00 PM,1.27
8/12/2024,12:00:00 AM,1.27
8/12/2024,12:15:00 AM,1.26
8/12/2024,12:30:00 AM,1.26
8/12/2024,12:45:00 AM,1.26
8/12/2024,1:00:00 AM,1.26
8/12/2024,1:15:00 AM,1.26
8/12/2024,1:30:00 AM,1.26
8/12/2024,1:45:00 AM,1.26
8/12/2024,2:00:00 AM,1.26
8/12/2024,2:15:00 AM,1.26
8/12/2024,2:30:00 AM,1.26
8/12/2024,2:45:00 AM,1.26
8/12/2024,3:00:00 AM,1.26
8/12/2024,3:15:00 AM,1.26
8/12/2024,3:30:00 AM,1.26
8/12/2024,3:45:00 AM,1.26
8/12/2024,4:00:00 AM,1.26
8/12/2024,4:15:00 AM,1.26
8/12/2024,4:30:00 AM,1.25
8/12/2024,4:45:00 AM,1.25
8/12/2024,5:00:00 AM,1.26
8/12/2024,5:15:00 AM,1.25
8/12/2024,5:30:00 AM,1.26
8/12/2024,5:45:00 AM,1.26
8/12/2024,6:00:00 AM,1.25
8/12/2024,6:15:00 AM,1.25
8/12/2024,6:30:00 AM,1.25
8/12/2024,6:45:00 AM,1.25
8/12/2024,7:00:00 AM,1.25
8/12/2024,7:15:00 AM,1.25
8/12/2024,7:30:00 AM,1.25
8/12/2024,7:45:00 AM,1.25
8/12/2024,8:00:00 AM,1.25
8/12/2024,8:15:00 AM,1.25
8/12/2024,8:30:00 AM,1.25
8/12/2024,8:45:00 AM,1.25
8/12/2024,9:00:00 AM,1.25
8/12/2024,9:15:00 AM,1.25
8/12/2024,9:30:00 AM,1.25
8/12/2024,9:45:00 AM,1.25
8/12/2024,10:00:00 AM,1.24
8/12/2024,10:15:00 AM,1.24
8/12/2024,10:30:00 AM,1.24
8/12/2024,10:45:00 AM,1.24
8/12/2024,11:00:00 AM,1.24
8/12/2024,11:15:00 AM,1.24
8/12/2024,11:30:00 AM,1.24
8/12/2024,11:45:00 AM,1.24
8/12/2024,12:00:00 PM,1.24
8/12/2024,12:15:00 PM,1.24
8/12/2024,12:30:00 PM,1.24
8/12/2024,12:45:00 PM,1.24
8/12/2024,1:00:00 PM,1.24
8/12/2024,1:15:00 PM,1.24
8/12/2024,1:30:00 PM,1.23
8/12/2024,1:45:00 PM,1.23
8/12/2024,2:00:00 PM,1.23
8/12/2024,2:15:00 PM,1.23
8/12/2024,2:30:00 PM,1.23
8/12/2024,2:45:00 PM,1.23
8/12/2024,3:00:00 PM,1.23
8/12/2024,3:15:00 PM,1.23
8/12/2024,3:30:00 PM,1.23
8/12/2024,3:45:00 PM,1.23
8/12/2024,4:00:00 PM,1.22
8/12/2024,4:15:00 PM,1.22
8/12/2024,4:30:00 PM,1.22
8/12/2024,4:45:00 PM,1.22
8/12/2024,5:00:00 PM,1.22
8/12/2024,5:15:00 PM,1.22
8/12/2024,5:30:00 PM,1.22
8/12/2024,5:45:00 PM,1.22
8/12/2024,6:00:00 PM,1.21
8/12/2024,6:15:00 PM,1.21
8/12/2024,6:30:00 PM,1.21
8/12/2024,6:45:00 PM,1.22
8/12/2024,7:00:00 PM,1.21
8/12/2024,7:15:00 PM,1.21
8/12/2024,7:30:00 PM,1.21
8/12/2024,7:45:00 PM,1.21
8/12/2024,8:00:00 PM,1.21
8/12/2024,8:15:00 PM,1.21
8/12/2024,8:30:00 PM,1.21
8/12/2024,8:45:00 PM,1.2
8/12/2024,9:00:00 PM,1.2
8/12/2024,9:15:00 PM,1.2
8/12/2024,9:30:00 PM,1.21
8/12/2024,9:45:00 PM,1.21
8/12/2024,10:00:00 PM,1.21
8/12/2024,10:15:00 PM,1.2
8/12/2024,10:30:00 PM,1.2
8/12/2024,10:45:00 PM,1.2
8/12/2024,11:00:00 PM,1.21
8/12/2024,11:15:00 PM,1.21
8/12/2024,11:30:00 PM,1.21
8/12/2024,11:45:00 PM,1.2
8/13/2024,12:00:00 AM,1.2
8/13/2024,12:15:00 AM,1.2
8/13/2024,12:30:00 AM,1.21
8/13/2024,12:45:00 AM,1.21
8/13/2024,1:00:00 AM,1.2
8/13/2024,1:15:00 AM,1.21
8/13/2024,1:30:00 AM,1.2
8/13/2024,1:45:00 AM,1.2
8/13/2024,2:00:00 AM,1.2
8/13/2024,2:15:00 AM,1.21
8/13/2024,2:30:00 AM,1.21
8/13/2024,2:45:00 AM,1.21
8/13/2024,3:00:00 AM,1.21
8/13/2024,3:15:00 AM,1.21
8/13/2024,3:30:00 AM,1.21
8/13/2024,3:45:00 AM,1.21
8/13/2024,4:00:00 AM,1.21
8/13/2024,4:15:00 AM,1.21
8/13/2024,4:30:00 AM,1.21
8/13/2024,4:45:00 AM,1.21
8/13/2024,5:00:00 AM,1.2
8/13/2024,5:15:00 AM,1.21
8/13/2024,5:30:00 AM,1.21
8/13/2024,5:45:00 AM,1.21
8/13/2024,6:00:00 AM,1.21
8/13/2024,6:15:00 AM,1.21
8/13/2024,6:30:00 AM,1.21
8/13/2024,6:45:00 AM,1.21
8/13/2024,7:00:00 AM,1.21
8/13/2024,7:15:00 AM,1.21
8/13/2024,7:30:00 AM,1.21
8/13/2024,7:45:00 AM,1.21
8/13/2024,8:00:00 AM,1.2
8/13/2024,8:15:00 AM,1.2
8/13/2024,8:30:00 AM,1.2
8/13/2024,8:45:00 AM,1.2
8/13/2024,9:00:00 AM,1.2
8/13/2024,9:15:00 AM,1.2
8/13/2024,9:30:00 AM,1.2
8/13/2024,9:45:00 AM,1.2
8/13/2024,10:00:00 AM,1.2
8/13/2024,10:15:00 AM,1.2
8/13/2024,10:30:00 AM,1.2
8/13/2024,10:45:00 AM,1.2
8/13/2024,11:00:00 AM,1.2
8/13/2024,11:15:00 AM,1.2
8/13/2024,11:30:00 AM,1.2
8/13/2024,11:45:00 AM,1.2
8/13/2024,12:00:00 PM,1.2
8/13/2024,12:15:00 PM,1.2
8/13/2024,12:30:00 PM,1.2
8/13/2024,12:45:00 PM,1.19
8/13/2024,1:00:00 PM,1.2
8/13/2024,1:15:00 PM,1.2
8/13/2024,1:30:00 PM,1.2
8/13/2024,1:45:00 PM,1.2
8/13/2024,2:00:00 PM,1.2
8/13/2024,2:15:00 PM,1.2
8/13/2024,2:30:00 PM,1.2
8/13/2024,2:45:00 PM,1.2
8/13/2024,3:00:00 PM,1.2
8/13/2024,3:15:00 PM,1.2
8/13/2024,3:30:00 PM,1.2
8/13/2024,3:45:00 PM,1.19
8/13/2024,4:00:00 PM,1.2
8/13/2024,4:15:00 PM,1.19
8/13/2024,4:30:00 PM,1.19
8/13/2024,4:45:00 PM,1.19
8/13/2024,5:00:00 PM,1.19
8/13/2024,5:15:00 PM,1.19
8/13/2024,5:30:00 PM,1.19
8/13/2024,5:45:00 PM,1.19
8/13/2024,6:00:00 PM,1.19
8/13/2024,6:15:00 PM,1.19
8/13/2024,6:30:00 PM,1.19
8/13/2024,6:45:00 PM,1.19
8/13/2024,7:00:00 PM,1.19
8/13/2024,7:15:00 PM,1.19
8/13/2024,7:30:00 PM,1.19
8/13/2024,7:45:00 PM,1.18
8/13/2024,8:00:00 PM,1.18
8/13/2024,8:15:00 PM,1.18
8/13/2024,8:30:00 PM,1.18
8/13/2024,8:45:00 PM,1.18
8/13/2024,9:00:00 PM,1.18
8/13/2024,9:15:00 PM,1.18
8/13/2024,9:30:00 PM,1.18
8/13/2024,9:45:00 PM,1.18
8/13/2024,10:00:00 PM,1.18
8/13/2024,10:15:00 PM,1.18
8/13/2024,10:30:00 PM,1.18
8/13/2024,10:45:00 PM,1.18
8/13/2024,11:00:00 PM,1.18
8/13/2024,11:15:00 PM,1.18
8/13/2024,11:30:00 PM,1.18
8/13/2024,11:45:00 PM,1.18
8/14/2024,12:00:00 AM,1.18
8/14/2024,12:15:00 AM,1.18
8/14/2024,12:30:00 AM,1.18
8/14/2024,12:45:00 AM,1.18
8/14/2024,1:00:00 AM,1.18
8/14/2024,1:15:00 AM,1.18
8/14/2024,1:30:00 AM,1.18
8/14/2024,1:45:00 AM,1.18
8/14/2024,2:00:00 AM,1.18
8/14/2024,2:15:00 AM,1.19
8/14/2024,2:30:00 AM,1.18
8/14/2024,2:45:00 AM,1.19
8/14/2024,3:00:00 AM,1.18
8/14/2024,3:15:00 AM,1.19
8/14/2024,3:30:00 AM,1.18
8/14/2024,3:45:00 AM,1.18
8/14/2024,4:00:00 AM,1.18
8/14/2024,4:15:00 AM,1.18
8/14/2024,4:30:00 AM,1.19
8/14/2024,4:45:00 AM,1.19
8/14/2024,5:00:00 AM,1.18
8/14/2024,5:15:00 AM,1.18
8/14/2024,5:30:00 AM,1.18
8/14/2024,5:45:00 AM,1.18
8/14/2024,6:00:00 AM,1.18
8/14/2024,6:15:00 AM,1.18
8/14/2024,6:30:00 AM,1.18
8/14/2024,6:45:00 AM,1.18
8/14/2024,7:00:00 AM,1.19
8/14/2024,7:15:00 AM,1.18
8/14/2024,7:30:00 AM,1.18
8/14/2024,7:45:00 AM,1.18
8/14/2024,8:00:00 AM,1.18
8/14/2024,8:15:00 AM,1.18
8/14/2024,8:30:00 AM,1.18
8/14/2024,8:45:00 AM,1.19
8/14/2024,9:00:00 AM,1.19
8/14/2024,9:15:00 AM,1.18
8/14/2024,9:30:00 AM,1.18
8/14/2024,9:45:00 AM,1.18
8/14/2024,10:00:00 AM,1.18
8/14/2024,10:15:00 AM,1.18
8/14/2024,10:30:00 AM,1.18
8/14/2024,10:45:00 AM,1.18
8/14/2024,11:00:00 AM,1.18
8/14/2024,11:15:00 AM,1.18
8/14/2024,11:30:00 AM,1.18
8/14/2024,11:45:00 AM,1.18
8/14/2024,12:00:00 PM,1.18
8/14/2024,12:15:00 PM,1.18
8/14/2024,12:30:00 PM,1.18
8/14/2024,12:45:00 PM,1.18
8/14/2024,1:00:00 PM,1.18
8/14/2024,1:15:00 PM,1.18
8/14/2024,1:30:00 PM,1.18
8/14/2024,1:45:00 PM,1.18
8/14/2024,2:00:00 PM,1.18
8/14/2024,2:15:00 PM,1.18
8/14/2024,2:30:00 PM,1.17
8/14/2024,2:45:00 PM,1.17
8/14/2024,3:00:00 PM,1.18
8/14/2024,3:15:00 PM,1.17
8/14/2024,3:30:00 PM,1.17
8/14/2024,3:45:00 PM,1.17
8/14/2024,4:00:00 PM,1.17
8/14/2024,4:15:00 PM,1.17
8/14/2024,4:30:00 PM,1.17
8/14/2024,4:45:00 PM,1.17
8/14/2024,5:00:00 PM,1.17
8/14/2024,5:15:00 PM,1.17
8/14/2024,5:30:00 PM,1.17
8/14/2024,5:45:00 PM,1.17
8/14/2024,6:00:00 PM,1.17
8/14/2024,6:15:00 PM,1.16
8/14/2024,6:30:00 PM,1.17
8/14/2024,6:45:00 PM,1.17
8/14/2024,7:00:00 PM,1.17
8/14/2024,7:15:00 PM,1.16
8/14/2024,7:30:00 PM,1.16
8/14/2024,7:45:00 PM,1.16
8/14/2024,8:00:00 PM,1.16
8/14/2024,8:15:00 PM,1.16
8/14/2024,8:30:00 PM,1.16
8/14/2024,8:45:00 PM,1.16
8/14/2024,9:00:00 PM,1.16
8/14/2024,9:15:00 PM,1.16
8/14/2024,9:30:00 PM,1.16
8/14/2024,9:45:00 PM,1.16
8/14/2024,10:00:00 PM,1.16
8/14/2024,10:15:00 PM,1.16
8/14/2024,10:30:00 PM,1.16
8/14/2024,10:45:00 PM,1.16
8/14/2024,11:00:00 PM,1.16
8/14/2024,11:15:00 PM,1.16
8/14/2024,11:30:00 PM,1.16
8/14/2024,11:45:00 PM,1.16
8/15/2024,12:00:00 AM,1.16
8/15/2024,12:15:00 AM,1.16
8/15/2024,12:30:00 AM,1.16
8/15/2024,12:45:00 AM,1.16
8/15/2024,1:00:00 AM,1.16
8/15/2024,1:15:00 AM,1.16
8/15/2024,1:30:00 AM,1.16
8/15/2024,1:45:00 AM,1.16
8/15/2024,2:00:00 AM,1.16
8/15/2024,2:15:00 AM,1.16
8/15/2024,2:30:00 AM,1.16
8/15/2024,2:45:00 AM,1.16
8/15/2024,3:00:00 AM,1.15
8/15/2024,3:15:00 AM,1.16
8/15/2024,3:30:00 AM,1.16
8/15/2024,3:45:00 AM,1.16
8/15/2024,4:00:00 AM,1.16
8/15/2024,4:15:00 AM,1.16
8/15/2024,4:30:00 AM,1.16
8/15/2024,4:45:00 AM,1.16
8/15/2024,5:00:00 AM,1.16
8/15/2024,5:15:00 AM,1.16
8/15/2024,5:30:00 AM,1.16
8/15/2024,5:45:00 AM,1.16
8/15/2024,6:00:00 AM,1.15
8/15/2024,6:15:00 AM,1.16
8/15/2024,6:30:00 AM,1.16
8/15/2024,6:45:00 AM,1.15
8/15/2024,7:00:00 AM,1.15
8/15/2024,7:15:00 AM,1.16
8/15/2024,7:30:00 AM,1.16
8/15/2024,7:45:00 AM,1.15
8/15/2024,8:00:00 AM,1.15
8/15/2024,8:15:00 AM,1.15
8/15/2024,8:30:00 AM,1.15
8/15/2024,8:45:00 AM,1.15
8/15/2024,9:00:00 AM,1.15
8/15/2024,9:15:00 AM,1.15
8/15/2024,9:30:00 AM,1.15
8/15/2024,9:45:00 AM,1.15
8/15/2024,10:00:00 AM,1.15
8/15/2024,10:15:00 AM,1.15
8/15/2024,10:30:00 AM,1.15
8/15/2024,10:45:00 AM,1.15
8/15/2024,11:00:00 AM,1.15
8/15/2024,11:15:00 AM,1.15
8/15/2024,11:30:00 AM,1.15
8/15/2024,11:45:00 AM,1.15
8/15/2024,12:00:00 PM,1.15
8/15/2024,12:15:00 PM,1.15
8/15/2024,12:30:00 PM,1.15
8/15/2024,12:45:00 PM,1.15
8/15/2024,1:00:00 PM,1.15
8/15/2024,1:15:00 PM,1.15
8/15/2024,1:30:00 PM,1.15
8/15/2024,1:45:00 PM,1.15
8/15/2024,2:00:00 PM,1.15
8/15/2024,2:15:00 PM,1.15
8/15/2024,2:30:00 PM,1.15
8/15/2024,2:45:00 PM,1.15
8/15/2024,3:00:00 PM,1.15
8/15/2024,3:15:00 PM,1.15
8/15/2024,3:30:00 PM,1.14
8/15/2024,3:45:00 PM,1.14
8/15/2024,4:00:00 PM,1.14
8/15/2024,4:15:00 PM,1.14
8/15/2024,4:30:00 PM,1.14
8/15/2024,4:45:00 PM,1.14
8/15/2024,5:00:00 PM,1.14
8/15/2024,5:15:00 PM,1.14
8/15/2024,5:30:00 PM,1.14
8/15/2024,5:45:00 PM,1.14
8/15/2024,6:00:00 PM,1.14
8/15/2024,6:15:00 PM,1.14
8/15/2024,6:30:00 PM,1.13
8/15/2024,6:45:00 PM,1.13
8/15/2024,7:00:00 PM,1.13
8/15/2024,7:15:00 PM,1.13
8/15/2024,7:30:00 PM,1.13
8/15/2024,7:45:00 PM,1.13
8/15/2024,8:00:00 PM,1.13
8/15/2024,8:15:00 PM,1.13
8/15/2024,8:30:00 PM,1.13
8/15/2024,8:45:00 PM,1.13
8/15/2024,9:00:00 PM,1.13
8/15/2024,9:15:00 PM,1.13
8/15/2024,9:30:00 PM,1.13
8/15/2024,9:45:00 PM,1.13
8/15/2024,10:00:00 PM,1.13
8/15/2024,10:15:00 PM,1.13
8/15/2024,10:30:00 PM,1.13
8/15/2024,10:45:00 PM,1.13
8/15/2024,11:00:00 PM,1.13
8/15/2024,11:15:00 PM,1.13
8/15/2024,11:30:00 PM,1.13
8/15/2024,11:45:00 PM,1.14
8/16/2024,12:00:00 AM,1.15
8/16/2024,12:15:00 AM,1.16
8/16/2024,12:30:00 AM,1.18
8/16/2024,12:45:00 AM,1.19
8/16/2024,1:00:00 AM,1.21
8/16/2024,1:15:00 AM,1.24
8/16/2024,1:30:00 AM,1.26
8/16/2024,1:45:00 AM,1.28
8/16/2024,2:00:00 AM,1.29
8/16/2024,2:15:00 AM,1.3
8/16/2024,2:30:00 AM,1.32
8/16/2024,2:45:00 AM,1.33
8/16/2024,3:00:00 AM,1.33
8/16/2024,3:15:00 AM,1.34
8/16/2024,3:30:00 AM,1.34
8/16/2024,3:45:00 AM,1.34
8/16/2024,4:00:00 AM,1.35
8/16/2024,4:15:00 AM,1.35
8/16/2024,4:30:00 AM,1.34
8/16/2024,4:45:00 AM,1.34
8/16/2024,5:00:00 AM,1.34
8/16/2024,5:15:00 AM,1.33
8/16/2024,5:30:00 AM,1.33
8/16/2024,5:45:00 AM,1.32
8/16/2024,6:00:00 AM,1.31
8/16/2024,6:15:00 AM,1.31
8/16/2024,6:30:00 AM,1.3
8/16/2024,6:45:00 AM,1.3
8/16/2024,7:00:00 AM,1.29
8/16/2024,7:15:00 AM,1.28
8/16/2024,7:30:00 AM,1.27
8/16/2024,7:45:00 AM,1.26
8/16/2024,8:00:00 AM,1.26
8/16/2024,8:15:00 AM,1.26
8/16/2024,8:30:00 AM,1.25
8/16/2024,8:45:00 AM,1.24
8/16/2024,9:00:00 AM,1.24
8/16/2024,9:15:00 AM,1.23
8/16/2024,9:30:00 AM,1.22
8/16/2024,9:45:00 AM,1.22
8/16/2024,10:00:00 AM,1.21
8/16/2024,10:15:00 AM,1.21
8/16/2024,10:30:00 AM,1.2
8/16/2024,10:45:00 AM,1.2
8/16/2024,11:00:00 AM,1.19
8/16/2024,11:15:00 AM,1.19
8/16/2024,11:30:00 AM,1.19
8/16/2024,11:45:00 AM,1.18
8/16/2024,12:00:00 PM,1.18
8/16/2024,12:15:00 PM,1.18
8/16/2024,12:30:00 PM,1.17
8/16/2024,12:45:00 PM,1.17
8/16/2024,1:00:00 PM,1.17
8/16/2024,1:15:00 PM,1.17
8/16/2024,1:30:00 PM,1.16
8/16/2024,1:45:00 PM,1.16
8/16/2024,2:00:00 PM,1.16
8/16/2024,2:15:00 PM,1.15
8/16/2024,2:30:00 PM,1.15
8/16/2024,2:45:00 PM,1.15
8/16/2024,3:00:00 PM,1.14
8/16/2024,3:15:00 PM,1.14
8/16/2024,3:30:00 PM,1.14
8/16/2024,3:45:00 PM,1.13
8/16/2024,4:00:00 PM,1.13
8/16/2024,4:15:00 PM,1.13
8/16/2024,4:30:00 PM,1.13
8/16/2024,4:45:00 PM,1.12
8/16/2024,5:00:00 PM,1.12
8/16/2024,5:15:00 PM,1.12
8/16/2024,5:30:00 PM,1.11
8/16/2024,5:45:00 PM,1.11
8/16/2024,6:00:00 PM,1.11
8/16/2024,6:15:00 PM,1.11
8/16/2024,6:30:00 PM,1.1
8/16/2024,6:45:00 PM,1.1
8/16/2024,7:00:00 PM,1.1
8/16/2024,7:15:00 PM,1.09
8/16/2024,7:30:00 PM,1.09
8/16/2024,7:45:00 PM,1.08
8/16/2024,8:00:00 PM,1.08
8/16/2024,8:15:00 PM,1.08
8/16/2024,8:30:00 PM,1.07
8/16/2024,8:45:00 PM,1.07
8/16/2024,9:00:00 PM,1.06
8/16/2024,9:15:00 PM,1.06
8/16/2024,9:30:00 PM,1.06
8/16/2024,9:45:00 PM,1.06
8/16/2024,10:00:00 PM,1.05
8/16/2024,10:15:00 PM,1.05
8/16/2024,10:30:00 PM,1.05
8/16/2024,10:45:00 PM,1.05
8/16/2024,11:00:00 PM,1.05
8/16/2024,11:15:00 PM,1.05
8/16/2024,11:30:00 PM,1.05
8/16/2024,11:45:00 PM,1.05
8/17/2024,12:00:00 AM,1.05
8/17/2024,12:15:00 AM,1.05
8/17/2024,12:30:00 AM,1.05
8/17/2024,12:45:00 AM,1.05
8/17/2024,1:00:00 AM,1.05
8/17/2024,1:15:00 AM,1.06
8/17/2024,1:30:00 AM,1.06
8/17/2024,1:45:00 AM,1.05
8/17/2024,2:00:00 AM,1.06
8/17/2024,2:15:00 AM,1.06
8/17/2024,2:30:00 AM,1.06
8/17/2024,2:45:00 AM,1.06
8/17/2024,3:00:00 AM,1.06
8/17/2024,3:15:00 AM,1.06
8/17/2024,3:30:00 AM,1.06
8/17/2024,3:45:00 AM,1.06
8/17/2024,4:00:00 AM,1.06
8/17/2024,4:15:00 AM,1.06
8/17/2024,4:30:00 AM,1.06
8/17/2024,4:45:00 AM,1.06
8/17/2024,5:00:00 AM,1.06
8/17/2024,5:15:00 AM,1.06
8/17/2024,5:30:00 AM,1.06
8/17/2024,5:45:00 AM,1.07
8/17/2024,6:00:00 AM,1.07
8/17/2024,6:15:00 AM,1.07
